TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,1/6/2024,1008,102,404,0,39.1,15,PayPal
551,1/6/2024,1009,105,403,0,19.78,5,PayPal
552,1/16/2024,1004,107,404,0,335.1,5,Visa
553,1/16/2024,1006,102,406,0,195.5,15,Visa
554,1/25/2024,1005,102,405,0,117.3,20,PayPal
555,1/25/2024,1001,101,401,0,2379.36,5,Visa
556,1/29/2024,1009,104,403,0,172.4,5,PayPal
557,1/29/2024,1010,101,402,0,3172.48,15,Visa
558,2/6/2024,1002,102,402,0,312.8,20,Visa
559,2/6/2024,1001,106,401,0,622.86,20,PayPal
560,2/6/2024,1010,101,402,0,6344.96,15,PayPal
561,2/6/2024,1005,107,405,0,469.14,5,PayPal
562,2/8/2024,1003,108,403,0,12.56,15,Visa
563,2/8/2024,1006,107,406,0,67.02,5,Visa
564,2/9/2024,1009,107,403,0,469.14,15,PayPal
565,2/9/2024,1002,105,402,0,138.46,20,PayPal
566,2/24/2024,1007,103,405,0,204.84,15,Visa
567,2/24/2024,1007,106,405,0,444.9,5,Visa
568,2/24/2024,1011,107,401,0,603.18,5,PayPal
569,2/24/2024,1010,101,402,0,3965.6,15,PayPal
570,2/27/2024,1010,107,402,0,402.12,20,PayPal
571,2/27/2024,1011,106,401,0,533.88,20,Visa
572,3/20/2024,1005,105,405,0,178.02,15,PayPal
573,3/20/2024,1001,101,401,0,7138.08,15,PayPal
574,3/25/2024,1006,101,406,0,4758.72,5,PayPal
575,3/25/2024,1001,108,401,0,75.36,5,PayPal
576,4/7/2024,1001,108,401,0,113.04,20,PayPal
577,4/7/2024,1005,104,405,0,387.9,5,PayPal
578,4/10/2024,1006,106,406,0,800.82,15,PayPal
579,4/10/2024,1008,106,404,0,800.82,15,Visa
580,4/11/2024,1004,103,404,0,22.76,20,PayPal
581,4/11/2024,1009,101,403,0,793.12,15,PayPal
582,4/19/2024,1001,101,401,0,6344.96,20,PayPal
583,4/19/2024,1009,102,403,0,312.8,20,PayPal
584,4/27/2024,1007,101,405,0,7138.08,20,Visa
585,4/27/2024,1002,108,402,0,113.04,15,Visa
586,4/30/2024,1001,105,401,0,39.56,5,PayPal
587,4/30/2024,1007,102,405,0,78.2,5,PayPal
588,5/2/2024,1002,102,402,0,117.3,5,Visa
589,5/2/2024,1007,102,405,0,117.3,15,Visa
590,5/8/2024,1005,107,405,1,603.18,20,Visa
591,5/8/2024,1004,101,404,1,7138.08,15,PayPal
592,5/17/2024,1006,107,406,1,670.2,20,Visa
593,5/17/2024,1008,104,404,1,431,15,Visa
594,5/19/2024,1003,101,403,1,1586.24,20,Visa
595,5/19/2024,1006,108,406,1,25.12,15,Visa
596,5/29/2024,1011,105,401,0,98.9,20,Visa
597,5/29/2024,1008,102,404,0,195.5,15,PayPal
598,6/6/2024,1001,104,401,0,387.9,5,Visa
599,6/6/2024,1004,102,404,0,351.9,5,Visa
600,6/12/2024,1010,103,402,0,182.08,15,Visa
601,6/12/2024,1005,106,405,0,711.84,20,Visa
602,6/17/2024,1007,101,405,0,2379.36,15,Visa
603,6/17/2024,1006,101,406,0,2379.36,20,Visa
604,6/20/2024,1009,102,403,0,39.1,20,PayPal
605,6/20/2024,1002,108,402,0,12.56,20,PayPal
606,7/2/2024,1005,105,405,0,79.12,15,PayPal
607,7/2/2024,1011,108,401,0,50.24,5,PayPal
608,7/4/2024,1003,102,403,0,39.1,5,Visa
609,7/4/2024,1004,101,404,0,3965.6,5,Visa
610,7/4/2024,1010,106,402,0,88.98,20,PayPal
611,7/4/2024,1006,102,406,0,195.5,15,PayPal
612,7/7/2024,1003,104,403,2,258.6,20,PayPal
613,7/7/2024,1003,104,403,2,258.6,5,Visa
614,7/15/2024,1011,101,401,2,7138.08,5,Visa
615,7/15/2024,1010,104,402,2,387.9,15,PayPal
616,7/17/2024,1001,107,401,2,134.04,5,Visa
617,7/17/2024,1003,107,403,2,134.04,15,PayPal
618,7/21/2024,1001,104,401,2,172.4,5,Visa
619,7/21/2024,1008,105,404,2,79.12,20,Visa
620,7/25/2024,1007,108,405,0,125.6,5,Visa
621,7/25/2024,1010,101,402,0,7931.2,15,Visa
622,8/1/2024,1003,108,403,0,100.48,5,Visa
623,8/1/2024,1002,107,402,0,536.16,5,Visa
624,8/2/2024,1011,108,401,0,125.6,5,PayPal
625,8/2/2024,1002,108,402,0,125.6,5,PayPal
626,8/5/2024,1003,108,403,0,37.68,20,PayPal
627,8/5/2024,1006,104,406,0,129.3,15,Visa
628,8/14/2024,1011,107,401,0,201.06,15,Visa
629,8/14/2024,1006,101,406,0,2379.36,20,PayPal
630,8/21/2024,1007,104,405,0,172.4,15,PayPal
631,8/21/2024,1002,107,402,0,268.08,5,Visa
632,8/25/2024,1006,108,406,0,75.36,15,Visa
633,8/25/2024,1002,104,402,0,258.6,5,PayPal
634,8/28/2024,1006,105,406,0,39.56,15,Visa
635,8/28/2024,1005,106,405,0,177.96,5,Visa
636,9/5/2024,1005,107,405,3,1072.32,15,Visa
637,9/5/2024,1007,107,405,3,1072.32,5,PayPal
638,9/22/2024,1001,101,401,3,6344.96,20,Visa
639,9/22/2024,1007,104,405,3,689.6,5,Visa
640,9/30/2024,1005,107,405,3,268.08,20,PayPal
641,9/30/2024,1010,103,402,3,45.52,5,Visa
642,10/10/2024,1002,101,402,0,5551.84,15,PayPal
643,10/10/2024,1010,104,402,0,301.7,20,PayPal
